Movie Name,IMDb Rating,Year,Certificates,Genre,Director,Star Cast
Coco,8.4,2017,PG,Animation,Lee Unkrich,Lee UnkrichJason KatzMatthew Aldrich
Frozen,7.4,2013,PG,Animation,Chris Buck,Jennifer LeeHans Christian AndersenChris Buck
Mufasa: The Lion King,7.1,2024,R,Animation,Barry Jenkins,Linda WoolvertonIrene MecchiJonathan Roberts
Howl's Moving Castle,8.2,2004,PG,Animation,Hayao Miyazaki,Chieko BaishôTakuya KimuraTatsuya Gashûin
Zootopia,8,2016,PG,Animation,Byron Howard,Byron HowardRich MooreJared Bush
Teenage Mutant Ninja Turtles: Mutant Mayhem,7.2,2023,PG,Animation,Jeff Rowe,Seth RogenEvan GoldbergJeff Rowe
Kung Fu Panda,7.6,2008,PG,Animation,Mark Osborne,Jonathan AibelGlenn BergerEthan Reiff
The Lion King,6.8,2019,PG,Animation,Jon Favreau,Jeff NathansonIrene MecchiJonathan Roberts
Spider-Man: Into the Spider-Verse,8.4,2018,PG,Animation,Bob Persichetti,Phil LordRodney Rothman
The Incredibles,8,2004,PG,Animation,Brad Bird,Craig T. NelsonSamuel L. JacksonHolly Hunter
Mars Express,7.5,2023,Not Rated,Animation,Jérémie Périn,Léa DruckerMathieu AmalricDaniel Njo Lobé
Shrek 2,7.3,2004,PG,Animation,Andrew Adamson,William SteigAndrew AdamsonJoe Stillman
Your Name.,8.4,2016,R,Animation,Makoto Shinkai,Makoto ShinkaiClark Cheng
Elemental,7,2023,PG,Animation,Peter Sohn,John HobergKat LikkelBrenda Hsueh
Ratatouille,8.1,2007,G,Animation,Brad Bird,Brad BirdJan PinkavaJim Capobianco
Moana,7.6,2016,PG,Animation,Ron Clements,Ron ClementsJohn MuskerDon Hall
Harold and the Purple Crayon,7.1,2024,PG,Animation,Carlos Saldanha,Zachary LeviLil Rel HoweryBenjamin Bottani
Finding Nemo,8.2,2003,G,Animation,Andrew Stanton,Andrew StantonBob PetersonDavid Reynolds
Sing 2,7.3,2021,PG,Animation,Garth Jennings,Matthew McConaugheyReese WitherspoonScarlett Johansson
Trolls Band Together,6,2023,PG,Animation,Walt Dohrn,Anna KendrickJustin TimberlakeKenan Thompson
Transformers One,7.1,2024,R,Animation,Josh Cooley,Chris HemsworthBrian Tyree HenryScarlett Johansson
The Boy and the Heron,7.6,2023,PG-13,Animation,Hayao Miyazaki,Hayao Miyazaki
The Lion King,8.5,1994,G,Animation,Roger Allers,Irene MecchiJonathan RobertsLinda Woolverton
Cars,7.2,2006,G,Animation,John Lasseter,John LasseterJoe RanftJorgen Klubien
Shrek,7.9,2001,PG,Animation,Andrew Adamson,William SteigTed ElliottTerry Rossio
Spirited Away,8.6,2001,PG,Animation,Hayao Miyazaki,Hayao Miyazaki
Moana 2,7.1,2024,R,Animation,David G. Derrick Jr.,Gil KenanJason ReitmanIvan Reitman
The Super Mario Bros. Movie,7,2023,PG,Animation,Aaron Horvath,Aaron HorvathMichael JelenicPierre Leduc
